,ESTC,nova_coluna1,NDEP,RENDA,TIPOR,VBEM
1082,1,131.90760056835035,0,517,1,429
666,1,131.26913202736125,0,514,0,577
1152,0,131.26913202736125,0,514,0,690
506,3,130.37527606997648,0,510,0,1386
296,0,129.73680752898738,0,508,0,541
260,1,129.60911382078956,0,507,0,942
1226,1,129.22603269619609,0,506,1,323
1475,0,129.22603269619609,0,506,0,432
1439,1,128.7152578634048,0,504,1,332
1466,0,128.20448303061352,0,502,0,1839
466,3,128.0767893224157,0,502,1,879
1424,1,127.82140190602004,0,500,0,699
1377,1,127.5660144896244,0,500,1,411
1455,0,127.5660144896244,0,500,1,567
878,1,127.69370819782222,0,500,0,1281
907,1,127.69370819782222,0,500,0,496
942,0,127.5660144896244,0,500,1,519
966,0,127.5660144896244,0,500,1,348
1471,0,127.5660144896244,0,500,1,463
1044,0,127.5660144896244,0,500,1,639
1074,0,127.69370819782222,0,500,0,687
1083,2,127.5660144896244,0,500,1,552
1365,0,127.5660144896244,0,500,1,840
1165,1,127.5660144896244,0,500,1,537
1206,0,127.5660144896244,1,500,1,505
847,1,127.69370819782222,0,500,0,385
1270,1,127.69370819782222,0,500,0,489
1311,1,127.69370819782222,0,500,0,471
1342,0,127.69370819782222,0,500,0,457
1384,1,127.5660144896244,0,500,1,747
854,0,127.69370819782222,0,500,0,712
4,1,127.69370819782222,0,500,0,809
451,0,127.5660144896244,0,500,1,782
534,1,127.5660144896244,0,500,1,618
298,1,127.5660144896244,0,500,1,466
833,0,127.5660144896244,3,500,1,849
258,0,127.5660144896244,0,500,1,1070
347,1,127.69370819782222,0,500,0,999
354,0,127.5660144896244,0,500,1,599
187,0,127.69370819782222,0,500,0,400
180,0,127.5660144896244,2,500,1,635
467,1,127.69370819782222,0,500,0,413
293,0,127.69370819782222,0,500,0,555
657,1,127.69370819782222,0,500,0,402
157,1,127.5660144896244,0,500,1,370
117,0,127.5660144896244,0,500,1,678
64,1,127.69370819782222,0,500,0,915
765,0,127.5660144896244,0,500,1,849
767,0,127.5660144896244,0,500,1,449
821,0,127.69370819782222,0,500,0,776
230,0,127.05523965683311,0,497,0,880
1398,0,126.79985224043746,0,496,0,510
1348,0,126.54446482404182,0,496,1,399
1437,0,126.416771115844,0,495,0,531
373,1,126.28907740764618,0,495,1,337
936,0,126.03368999125053,0,493,0,638
842,1,125.52291515845924,0,491,0,605
1120,1,125.13983403386578,0,490,0,393
371,0,125.01214032566796,0,490,1,661
954,0,124.1182843682832,0,486,0,559
717,0,123.99059066008537,0,485,0,300
1198,0,123.47981582729409,0,483,0,756
41,1,123.22442841089844,0,483,1,462
1427,0,123.22442841089844,0,482,0,499
1162,0,122.4582661617115,0,480,1,420
670,0,122.4582661617115,0,480,1,337
1354,3,122.4582661617115,0,479,0,660
307,0,121.69210391252457,0,476,0,698
87,0,121.56441020432675,0,476,0,1086
1345,1,121.18132907973329,0,475,1,1290
1310,0,121.30902278793111,0,475,0,737
1415,0,120.79824795513981,0,473,0,529
1433,1,120.670554246942,0,472,0,552
1410,0,119.77669828955725,0,469,0,552
